把几火,ba2 gei2 fo2,"很生气
",,,,
把关,ba2 gwaan1,"
",,,,
把鬼,ba2 gwai2,"有什么用，顶什么用，白费劲，毫无用处
",,,,
把口唔收,ba2 hau2 m4 sau1,"口无遮拦，收不住口，嘴没遮拦，口没遮拦，不停嘴
",,,,
把戏,ba2 hei3,"
",,,,
把兄弟,ba2 hing1 dai6,"
",,,,
把盏,ba2 jaan2,"
",,,,
把酒,ba2 jau2,"
",,,,
罢啦,ba2 la1,"吧
",,,,
把脉,ba2 mak9,"诊脉，号脉
",,,,
把炮,ba2 paau3,"本事，把握，神通，厉害，办法，靠山
",,,,
把屁,ba2 pei3,"有屁用，顶个屁用
",,,,
把屁咩！,ba2 pei3 me1,"有个屁用！
",,,,
把势,ba2 sai3,"
",,,,
把守,ba2 sau2,"
",,,,
把手,ba2 sau2,"
",,,,
把式,ba2 sik7,"
",,,,
把舦,ba2 taai5,"掌舵
",,,,
把玩,ba2 wun6,"
",,,,
霸,ba3,"占，霸占，占据
",,,,
霸道,ba3 dou6,"
",,,,
霸靓位,ba3 leng3 wai1,"占好位子
",,,,
霸挜,ba3 nga6,"霸道
",,,,
霸位,ba3 wai2,"占位置，占位子，占位
",,,,
霸王,ba3 wong4,"应付钱而不付钱
",,,,
爸爸,ba4 ba1,"
",,,,
罢黜,ba6 cheut7,"
",,,,
罢工,ba6 gung1,"
",,,,
罢就,ba6 jau6,"算了，拉倒，罢了，作罢
",,,,
罢了,ba6 liu5,"
",,,,
罢手,ba6 sau2,"
",,,,
罢休,ba6 yau1,"
",,,,
拜拜,baai1 baai3,"再见，拜拜
",,,,
摆,baai2,"摆放
",,,,
摆设,baai2 chit8,"
",,,,
摆低,baai2 dai1,"放下，摆下，放下来，摆下来
",,,,
摆档,baai2 dong3,"摆摊子，摆摊儿
",,,,
摆档口,baai2 dong3 hau2,"摆摊子，摆摊儿
",,,,
摆到明,baai2 dou3 ming4,"摆明，明摆着，不是明摆着吗
",,,,
摆放,baai2 fong3,"
",,,,
摆款,baai2 fun2,"摆架子，摆派头，摆样子，摆谱儿，耍派头，目中无人
",,,,
摆街,baai2 gaai1,"摆摊儿，摆卖，在街道旁边摆卖
",,,,
摆街边,baai2 gaai1 bin1,"摆摊儿，摆卖，在街道旁边摆卖
",,,,
摆供,baai2 gung3,"
",,,,
摆酒,baai2 jau2,"设宴，摆酒席，办酒席
",,,,
摆老乌,baai2 lou5 wu1,"做错，弄错，搞误会
",,,,
摆甫士,baai2 pou1 si2,"摆姿势
",,,,
摆晒款,baai2 saai3 fun2,"摆架子，装模作样
",,,,
摆脱,baai2 tyut8,"
",,,,
摆乌龙,baai2 wu1 lung2,"弄错，误会，做错，搞误会，理解错误，没弄清楚
",,,,
拜把,baai3 ba2,"
",,,,
拜把兄弟,baai3 ba2 hing1 dai6,"
",,,,
拜倒,baai3 dou2,"
",,,,
拜倒石榴裙之下,baai3 dou2 sek9 lau4 kwan4 ji1 ha6,"
",,,,
拜读,baai3 duk9,"
",,,,
拜佛,baai3 fat7,"
",,,,
拜火教,baai3 fo2 gaau3,"
",,,,
拜访,baai3 fong2,"
",,,,
拜金,baai3 gam1,"
",,,,
拜金主义,baai3 gam1 jyu2 yi6,"
",,,,
拜见,baai3 gin3,"
",,,,
拜祭,baai3 jai3,"
",,,,
拜袓先,baai3 jou2 sin1,"
",,,,
拜老师,baai3 lou5 si1,"
",,,,
拜庙,baai3 miu6,"
",,,,
拜偶像,baai3 ngau5 jeung6,"
",,,,
拜年,baai3 nin4,"
",,,,
拜票,baai3 piu3,"
",,,,
拜山,baai3 saan1,"上坟，扫墓
",,,,
拜神,baai3 san4,"
",,,,
拜师,baai3 si1,"
",,,,
拜师学艺,baai3 si1 hok9 ngai6,"
",,,,
拜天地,baai3 tin1 dei6,"
",,,,
拜托,baai3 tok8,"
",,,,
拜揖,baai3 yap7,"
",,,,
败北,baai6 bak7,"
",,,,
败家,baai6 ga1,"
",,,,
败家仔,baai6 ga1 jai2,"败家子
",,,,
败家精,baai6 ga1 jing1,"败家子
",,,,
败军,baai6 gwan1,"
",,,,
败兴,baai6 hing3,"
",,,,
败兴而归,baai6 hing3 yi4 gwai1,"
",,,,
败血病,baai6 hyut8 bing6,"
",,,,
败血症,baai6 hyut8 jing3,"
",,,,
败阵,baai6 jan6,"
",,,,
败者为寇,baai6 je2 wai4 kau3,"
",,,,
败仗,baai6 jeung3,"
",,,,
败将,baai6 jeung3,"
",,,,
败类,baai6 leui6,"
",,,,
败落,baai6 lok9,"
",,,,
败衄,baai6 nuk9,"
",,,,
败絮,baai6 seui5,"
",,,,
败絮其中,baai6 seui5 kei4 jung1,"
",,,,
败事有余,baai6 si6 yau5 yu4,"
",,,,
败诉,baai6 sou3,"
",,,,
败退,baai6 teui3,"
",,,,
败坏,baai6 waai6,"
",,,,
败胃,baai6 wai6,"
",,,,
迫不得已,baak7 bat7 dak7 yi5,"
",,,,
迫切,baak7 chit8,"
",,,,
迫近,baak7 gan6,"
",,,,
迫击炮,baak7 gik7 paau3,"
",,,,
迫害,baak7 hoi6,"
",,,,
迫在眉睫,baak7 joi6 mei4 jit9,"
",,,,
迫使,baak7 si2,"
",,,,
迫于形势,baak7 yu1 ying4 sai3,"
",,,,
伯伯,baak8 baak8,"
",,,,
百病,baak8 bing6,"
",,,,
百病丛生,baak8 bing6 chung4 sang1,"
",,,,
百步穿杨,baak8 bou6 chyun1 yeung4,"
",,,,
百般,baak8 bun1,"
",,,,
百读不厌,baak8 duk9 bat7 yim3,"
",,,,
百花齐放,baak8 fa1 chai4 fong3,"
",,,,
百花争艳,baak8 fa1 jang1 yim6,"
",,,,
百花怒放,baak8 fa1 nou6 fong3,"
",,,,
百发百中,baak8 faat8 baak8 jung3,"
",,,,
百分点,baak8 fan1 dim2,"
",,,,
百科,baak8 fo1,"
",,,,
百科全书,baak8 fo1 chyun4 syu1,"
",,,,
百科全书,baak8 fo1 chyun4 syu1,"百科全书
",,,,
百货,baak8 fo3,"
",,,,
百货店,baak8 fo3 dim3,"
",,,,
百货公司,baak8 fo3 gung1 si1,"
",,,,
百货商场,baak8 fo3 seung1 cheung4,"
",,,,
百货商店,baak8 fo3 seung1 dim3,"
",,,,
百货业,baak8 fo3 yip9,"
",,,,
伯父,baak8 fu2,"老头，老大爷
",,,,
伯父,baak8 fu6,"
",,,,
百家乐棋,baak8 ga1 lok9 kei4,"双陆棋
",,,,
百感交集,baak8 gam2 gaau1 jaap9,"
",,,,
白鸽,baak8 gap2,"
",,,,
百香果,baak8 heung1 gwo2,"
",,,,
百香果汁,baak8 heung1 gwo2 jap7,"
",,,,
百看不厌,baak8 hon3 bat7 yim3,"
",,,,
百褶裙,baak8 jip8 kwan4,"
",,,,
百折不挠,baak8 jit8 bat7 naau4,"
",,,,
百足,baak8 juk7,"蜈蚣
",,,,
百里香,baak8 lei5 heung1,"
",,,,
百里挑一,baak8 leui5 tiu1 yat7,"
",,,,
百炼成钢,baak8 lin6 sing4 gong3,"
",,,,
百灵,baak8 ling4,"
",,,,
百灵鸟,baak8 ling4 niu5,"
",,,,
百万,baak8 maan6,"
",,,,
百万富翁,baak8 maan6 fu3 yung1,"
",,,,
百万雄师,baak8 maan6 hung4 si1,"
",,,,
百米,baak8 mai5,"
",,,,
百米赛跑,baak8 mai5 choi3 paau2,"
",,,,
百闻不如一见,baak8 man4 bat7 yu4 yat7 gin3,"
",,,,
百物,baak8 mat9,"
",,,,
百无禁忌,baak8 mou4 gam3 gei6,"
",,,,
百无聊赖,baak8 mou4 liu4 laai6,"
",,,,
百无一长,baak8 mou4 yat7 cheung4,"
",,,,
百无一失,baak8 mou4 yat7 sat7,"
",,,,
伯母,baak8 mou5,"令堂，令寿堂
",,,,
百衲本,baak8 naap9 bun2,"
",,,,
百衲衣,baak8 naap9 yi1,"
",,,,
伯娘,baak8 neung4,"伯母，大妈
",,,,
百身莫赎,baak8 san1 mok9 suk9,"
",,,,
百兽之王,baak8 sau3 ji1 wong4,"
",,,,
百思不得其解,baak8 si1 bat7 dak7 kei4 gaai2,"
",,,,
百日咳,baak8 yat9 kat7,"
",,,,
伯爷,baak8 ye1,"父亲
",,,,
伯爷公,baak8 ye1 gung1,"老大爷，老头儿
",,,,
伯爷婆,baak8 ye1 po2,"老婆婆，老太婆
",,,,
百厌,baak8 yim3,"调皮，淘气
",,,,
百厌仔,baak8 yim3 jai2,"淘气鬼
",,,,
百厌星,baak8 yim3 sing1,"小家伙，淘气包
",,,,
百叶窗,baak8 yip9 cheung1,"
",,,,
白矮星,baak9 ai2 sing1,"
",,,,
白布,baak9 bou3,"
",,,,
白车,baak9 che1,"救护车
",,,,
白灼,baak9 cheuk8,"水煮，清煮，涮
",,,,
白灼虾,baak9 cheuk8 ha1,"清煮虾
",,,,
白痴,baak9 chi1,"
",,,,
白菜,baak9 choi3,"
",,,,
白醋,baak9 chou3,"
",,,,
白花,baak9 fa1,"
",,,,
白化,baak9 fa3,"
",,,,
白饭,baak9 faan6,"
",,,,
白发,baak9 faat8,"
",,,,
白费,baak9 fai3,"
",,,,
白费力气,baak9 fai3 lik9 hei3,"
",,,,
白费心机,baak9 fai3 sam1 gei1,"
",,,,
白粉,baak9 fan2,"海洛因，白面儿
",,,,
白粉档,baak9 fan2 dong3,"贩卖毒品的场所
",,,,
白霍,baak9 fok8,"轻浮，嚣张，浮夸
",,,,
白霍友,baak9 fok8 yau2,"好出风头的人，爱吹嘘自己的人，傲慢的人
",,,,
白灰,baak9 fui1,"
",,,,
帛金,baak9 gam1,"
",,,,
白金,baak9 gam1,"
",,,,
白键,baak9 gin6,"
",,,,
白果,baak9 gwo2,"
",,,,
白光,baak9 gwong1,"
",,,,
白开水,baak9 hoi1 seui2,"
",,,,
白鹤,baak9 hok9,"
",,,,
白熊,baak9 hung4,"
",,,,
白血病,baak9 hyut8 beng6,"
",,,,
白血球,baak9 hyut8 kau4,"
",,,,
白蚱,baak9 ja3,"水母
",,,,
白斩鸡,baak9 jaam2 gai1,"白切鸡
",,,,
白酒,baak9 jau2,"
",,,,
白昼,baak9 jau3,"
",,,,
白纸,baak9 ji2,"
",,,,
白纸黑字,baak9 ji2 hak7 ji6,"
",,,,
白净,baak9 jing6,"白嫩，白皙
",,,,
白撞,baak9 jong6,"小偷，撞骗者，擅闯的
",,,,
白撞雨,baak9 jong6 yu5,"过云雨，太阳雨，骤雨，阵雨
",,,,
白做,baak9 jou6,"白干了，白干一场
",,,,
白粥,baak9 juk7,"稀饭，稀粥
",,,,
白旗,baak9 kei4,"
",,,,
白鲸,baak9 king4,"
",,,,
白榄,baak9 laam2,"数来宝，顺口溜
",,,,
白榄,baak9 laam2,"橄榄，青果
",,,,
白兰,baak9 laan4,"
",,,,
白兰地,baak9 laan4 dei6,"
",,,,
白兰花,baak9 laan4 fa1,"
",,,,
白蔹,baak9 lim5,"
",,,,
白莲教,baak9 lin4 gaau3,"
",,,,
白领,baak9 ling5,"
",,,,
白领阶级,baak9 ling5 gaai1 kap7,"
",,,,
白鹭,baak9 lou6,"
",,,,
白马王子,baak9 ma5 wong4 ji2,"
",,,,
白猫,baak9 maau1,"
",,,,
白米,baak9 mai5,"
",,,,
白面,baak9 min6,"
",,,,
白面书生,baak9 min6 syu1 sang1,"
",,,,
白木耳,baak9 muk9 yi5,"
",,,,
白蒙蒙,baak9 mung1 mung1,"雪白雪白的
",,,,
白眼,baak9 ngaan5,"
",,,,
白蚁,baak9 ngai5,"
",,,,
白银,baak9 ngan4,"
",,,,
白垩纪,baak9 ok8 gei2,"
",,,,
白皮书,baak9 pei4 syu1,"
",,,,
白沙,baak9 sa1,"
",,,,
白纱,baak9 sa1,"
",,,,
白嘥,baak9 saai1,"白费
",,,,
白手,baak9 sau2,"
",,,,
白首,baak9 sau2,"
",,,,
白手起家,baak9 sau2 hei2 ga1,"
",,,,
白水,baak9 seui2,"
",,,,
白事,baak9 si6,"丧事
",,,,
白皙,baak9 sik7,"
",,,,
白色,baak9 sik7,"
",,,,
白蚀,baak9 sik9,"汗斑
",,,,
白线辘,baak9 sin3 luk7,"白线轴儿
",,,,
白鼠,baak9 syu2,"
",,,,
白薯,baak9 syu4,"
",,,,
白雪雪,baak9 syut7 syut7,"白白的，雪白
",,,,
白雪,baak9 syut8,"
",,,,
白头到老,baak9 tau4 dou3 lou5,"
",,,,
白头偕老,baak9 tau4 gaai1 lou5,"
",,,,
白头海雕,baak9 tau4 hoi2 diu1,"
",,,,
白头翁,baak9 tau4 yung1,"
",,,,
白糖,baak9 tong4,"
",,,,
白话,baak9 wa2,"
",,,,
白话,baak9 wa2,"本地话，广州话，广府话，广东话
",,,,
白话文,baak9 wa2 man4,"
",,,,
白话文学,baak9 wa2 man4 hok9,"
",,,,
白云,baak9 wan4,"
",,,,
白日流流,baak9 yat9 lau4 lau4,"在光天化日之下
",,,,
白日梦,baak9 yat9 mung6,"
",,,,
白油,baak9 yau2,"酱油
",,,,
白杨,baak9 yeung4,"
",,,,
白杨树,baak9 yeung4 syu6,"
",,,,
白衣天使,baak9 yi1 tin1 si3,"
",,,,
白热,baak9 yit9,"
",,,,
白热化,baak9 yit9 fa3,"
",,,,
白玉,baak9 yuk9,"
",,,,
白肉,baak9 yuk9,"
",,,,
班,baan1,"纠合，纠集，拉队伍，纠集同伙
",,,,
班,baan1,"群，伙
",,,,
班兵,baan1 bing1,"请援兵，请人帮忙，请求援助，搬兵
",,,,
班车,baan1 che1,"
",,,,
班次,baan1 chi3,"
",,,,
班底,baan1 dai2,"
",,,,
班代表,baan1 doi6 biu2,"
",,,,
颁发,baan1 faat8,"
",,,,
班房,baan1 fong2,"教室，课室
",,,,
斑鸠,baan1 gau1,"
",,,,
班戟,baan1 gik7,"薄煎饼，薄烤饼，热香饼
",,,,
瘢痕,baan1 han4,"
",,,,
班长,baan1 jeung2,"
",,,,
颁奖,baan1 jeung2,"
",,,,
颁奖典礼,baan1 jeung2 din2 lai5,"
",,,,
颁奖礼,baan1 jeung2 lai2,"
",,,,
班主任,baan1 jyu2 yam6,"
",,,,
斑斓,baan1 laan4,"
",,,,
斑马,baan1 ma5,"
",,,,
班马,baan1 ma5,"搬救兵，召集党徒，召集羽翼
",,,,
斑马佬,baan1 ma5 lou2,"两面派，风派
",,,,
班门弄斧,baan1 mun4 lung6 fu2,"
",,,,
班师,baan1 si1,"
",,,,
班师回朝,baan1 si1 wui4 chiu4,"
",,,,
板,baan2,"板子
",,,,
办,baan2,"样品，样本，货样，样板
",,,,
版本,baan2 bun2,"
",,,,
板凳,baan2 dang3,"
",,,,
板块,baan2 faai3,"
",,,,
板颈,baan2 geng2,"脾气倔强，执拗，固执
",,,,
板障,baan2 jeung3,"板墙，板壁
",,,,
版权,baan2 kyun4,"
",,,,
版权所有,baan2 kyun4 so2 yau5,"
",,,,
扮煮饭仔,baan3 jyu2 faan6 jai2,"过家家，玩过家家，扮家家酒
",,,,
扮,baan6,"装，装作，假装，扮演，打扮
",,,,
湴,baan6,"烂泥，稀泥
",,,,
扮蠢,baan6 cheun2,"装傻，装糊涂，装疯卖傻
",,,,
扮得意,baan6 dak7 yi3,"装可爱
",,,,
扮癫扮傻,baan6 din1 baan6 so4,"装疯卖傻
",,,,
扮代表,baan6 doi6 biu2,"装模作样
",,,,
扮到,baan6 dou3,"假装，扮成
",,,,
办法,baan6 faat8,"
",,,,
扮瞓,baan6 fan3,"装睡，佯睡
",,,,
办公室,baan6 gung1 sat7,"
",,,,
扮鬼,baan6 gwai2,"装神弄鬼
",,,,
扮鬼扮马,baan6 gwai2 baan6 ma5,"化妆
",,,,
扮蟹,baan6 haai5,"被捆起来，被捆绑，被扣押
",,,,
扮好人,baan6 hou2 yan4,"装好人
",,,,
扮作,baan6 jok8,"假装
",,,,
扮猪食老虎,baan6 jyu1 sik9 lou5 fu2,"佯装愚蠢，装疯卖傻来占便宜
",,,,
扮煮饭仔,baan6 jyu2 faan6 jai2,"玩过家家，玩摆家家，扮家家酒
",,,,
办理,baan6 lei5,"
",,,,
扮靓,baan6 leng3,"打扮，化妆，打扮得漂亮
",,,,
扮靓仔,baan6 leng3 jai2,"打扮得帅
",,,,
扮冇事,baan6 mou5 si6,"装作没事
",,,,
扮懵,baan6 mung2,"装傻，装糊涂
",,,,
办案,baan6 on3,"
",,,,
扮晒cool,baan6 saai3 ku1,"装出一副冷酷的样子
",,,,
扮晒嘢,baan6 saai3 ye5,"装模作样
",,,,
扮纯情,baan6 seun4 ching4,"装可爱，装纯真
",,,,
办事,baan6 si6,"
",,,,
办事处,baan6 si6 chyu3,"
",,,,
扮笑,baan6 siu3,"装笑
",,,,
扮傻扮懵,baan6 so4 baan6 mung2,"装傻，装糊涂，装疯卖傻
",,,,
扮听唔到,baan6 teng1 m4 dou2,"装作没听见
",,,,
办妥,baan6 to2,"
",,,,
扮嘢,baan6 ye5,"装模作样，装样子，装蒜，出风头
",,,,
扮演,baan6 yin2,"
",,,,
扮英雄,baan6 ying1 hung4,"充英雄
",,,,
蹦蹦跳跳,baang6 baang6 tiu3 tiu3,"
",,,,
绷带,baang6 daai3,"
",,,,
绷紧,baang6 gan2,"
",,,,
八,baat8,"八卦的，爱管闲事的
",,,,
八宝,baat8 bou2,"
",,,,
八宝饭,baat8 bou2 faan6,"
",,,,
八宝粥,baat8 bou2 juk7,"
",,,,
八点,baat8 dim2,"
",,,,
八点钟,baat8 dim2 jung1,"
",,,,
八九不离十,baat8 gau2 bat7 lei4 sap9,"
",,,,
八个字,baat8 go3 ji6,"四十分钟
",,,,
八角,baat8 gok8,"
",,,,
八角形,baat8 gok8 ying4,"
",,,,
八股,baat8 gu2,"
",,,,
八股文,baat8 gu2 man4,"
",,,,
八卦,baat8 gwa3,"爱管闲事
",,,,
八卦妹,baat8 gwa3 mui1,"爱管闲事的女孩
",,,,
八卦婆,baat8 gwa3 po2,"三八，饶舌妇
",,,,
八国联军,baat8 gwok8 lyun4 gwan1,"
",,,,
八爪鱼,baat8 jaau2 yu4,"章鱼
",,,,
八张几,baat8 jeung1 gei2,"八十多岁
",,,,
八字,baat8 ji6,"
",,,,
八字唔夹,baat8 ji6 m4 gaap8,"八字不合
",,,,
八级,baat8 kap7,"
",,,,
八路军,baat8 lou6 gwan1,"
",,,,
八面玲珑,baat8 min6 ling4 lung4,"
",,,,
八妹,baat8 mui1,"爱管闲事的女孩
",,,,
八年级,baat8 nin4 kap7,"
",,,,
八婆,baat8 po4,"三八，饶舌妇
",,,,
八十,baat8 sap9,"
",,,,
八仙,baat8 sin1,"
",,,,
八仙过海,baat8 sin1 gwo3 hoi2,"
",,,,
八仙枱,baat8 sin1 toi2,"八仙桌
",,,,
八成,baat8 sing4,"
",,,,
